OrderID,CustomerID,ReturnSales,ReturnDate
04155I2LCZL,DEFEL39011,0,2015-04-23
03245M4FELN,DEMES78568,0,2015-04-28
02055M4RJKXA,DEMET89695,0,2015-02-09
041250EKNIE,CRUZR99682,0,2015-04-22
03305L4HBBU,DAGOD40542,0,2015-04-14
04265E4OWRJ,DAHLT26760,0,2015-05-25
05035C7QTWR,DALAA875Z9,0,2016-02-02
01195PVNNRB,DALBA93181,0,2015-01-21
04225KVMXBI,DAMBM17913,0,2015-04-27
05105E4SKXI,DAQUC22195,0,2015-07-20
02105L3SORM,DAWAB23085,0,2015-02-23
04245R3NQXI,DECOA36604,0,2015-05-11
03275E5FZTE,DENIT81297,0,2015-03-30
03195C4DQDU,DENIV69886,0,2015-05-29
05125EVSVCAA,DESED38570,0,2015-05-25
02045G5RFWL,DHANC16530,0,2016-03-25
04255C8OHGD,DILLB90476,0,2015-07-13
03225L2EMPM,DOELM75692,0,2015-04-02
05125EVSVCA,DESED38570,0,2015-05-25
03075C5ZSOL,DININ21124,0,2015-03-19
05125H5SUQD,DIONP698Z3,0,2015-05-13
03195W2DQVA,DONOD82837,0,2015-03-30
02285N5XYWD,DORIM49043,0,2016-02-22
03075I9ZUSN,DETIT56580,0,2015-11-30
03185H5DFFD,DIAZD70622,0,2015-04-07
04225H4MXSU,DIAZM18003,0,2016-04-01
04015H1HMZN,DIMAP62835,0,2015-06-11
03155E7CLYD,DIMIL68007,0,2015-04-02
12294I2HTNH,DIMIT19050,0,2015-03-30
05125C9SXMC,DOWEL40224,0,2015-06-26
05125C9SXMC,DOWEL40224,0,2015-06-15
02185E3VDHRB,DOWNS24928,0,2015-02-19
05175E8UGPN,DOWTV45700,0,2015-06-15
0329508GMPG,DORRD42441,0,2015-03-31
03285N2GJCL,DOSHN49490,0,2016-02-15
02155L3TZGR,DOSON30098,0,2015-03-26
03305J2HAYN,DUDIJ85940,0,2016-04-04
011650LMMDE,EDWAA88034,0,2015-01-27
03075M3ZYOS,ELDRC56847,0,2015-05-20
10264H5ONEU,ESCOR88319,0,2015-01-30
03195M4DQXF,ESLEK71272,0,2015-04-24
03045E3ZAOD,ESMAN53781,0,2015-03-09
05215C3VGII,DUFFT48967,0,2015-09-01
03155LVCMDT,DUGGB68075,0,2015-03-24
04245R4NTFB,DURFA19844,0,2015-06-01
01235L1OMID,DUTIB82745,0,2015-01-26
11094F2SWYOA,ECHEM76091,0,2015-01-06
01255J1OZLC,ELLSL98358,0,2015-02-18
03025I6YOPD,ESTER52223,0,2015-03-23
05235P6VSPL,DUBOC25503,0,2015-08-24
01165J1MPLD,DUNCC41590,0,2015-01-26
02285R4XUSH,DUNKT48002,0,2015-03-24
01225H6OEHX,EARLA87765,0,2015-02-02
05225T1VNTF,EDWAS50013,0,2015-05-27
01055K8JSAU,ELLEL22647,0,2015-01-20
02075M4RXWZ,ELLIK44193,0,2015-02-16
05165E7TTWX,ENGER68170,0,2016-03-09
12214G4FUZI,EOLIW62292,0,2016-05-04
05025I4QQAQB,ESPOJ30551,0,2015-05-08
01175E8MROB,ESPOJ88840,0,2015-03-16
05135G2TENB,EVERP84699,0,2015-06-29
03285G2GMJN,ESPIJ83508,0,2015-08-10
04045G2IKDD,ESPIJ83508,0,2015-08-31
03285G2GMJN,ESPIJ83508,0,2015-08-31
04095N4JMJN,EVAND63801,0,2015-07-07
05065E2RKJT,FALLH69338,0,2015-12-18
02145H8TQOB,FEINA27794,0,2015-02-23
01095R3KRXH,FERMD25756,0,2015-01-12
12294W2HQGZ,FERRS89336,0,2015-03-10
01125D1LNXI,FICKC79305,0,2015-03-09
03085C1ABGC,FILLD57852,0,2015-05-25
02105NVSQMQ,LAJAM19148,0,2015-02-11
01025R4ISAL,LANDM55121,0,2015-03-23
02215M4VYAW,LATUD39705,0,2015-02-28
032350AEZPR,LAPOM78099,0,2015-06-02
01175N2MUKI,LAVIS82129,0,2015-01-22
02075M6RYSP,LAWEB19885,0,2015-03-30
02095C8SJJW,LAYDS22400,0,2016-08-08
04045FVIGFD,LEEBE72546,0,2015-04-10
05145C1THWL,LEEMI37475,0,2015-05-20
05095C1SEVL,LEEMI37475,0,2015-05-20
04175C8LQMT,LEMAL13215,0,2015-04-23
05165P6TTPA,LEMAM43063,0,2015-05-24
12274E9HFNU,LESHA61019,0,2015-01-28
03205L2DVOX,LEVIJ69802,0,2015-03-31
03165C4CUDW,LEIGS69221,0,2015-05-12
04115H8KGHH,LIPTA59513,0,2016-02-22
01315K3QHEG,LOPES12440,0,2015-02-16
01045W2JNXBA,LORDS82611,0,2015-02-03
03065P4ZISL,LINGE54797,0,2015-03-19
05025H5QMNE,LIODR78424,0,2015-05-12
02245NVWURM,LIPSD42412,0,2015-04-27
03145H5CEZC,LITTR28633,0,2015-04-24
03145C9BYGV,LOGRE87081,0,2015-03-16
01245N1OUPB,LOISJ70618,0,2015-03-26
05235N3WAVBA,LOMBJ52693,0,2015-06-17
05095E1SDJI,LOSAM37240,0,2016-07-08
03215JVEFDEA,LOSOA15467,0,2015-03-23
05035C8QUSE,LOWT50H,0,2016-03-07
03025P1YLHQ,LENNJ43909,0,2015-09-01
12124I2DEFN,LENTS35032,0,2015-08-04
04195J1MGVL,LEWAD83854,0,2015-04-29
01055A1JVAV,LEWIJ58208,0,2015-01-12
02285L2XYLW,LIHON48954,0,2015-03-12
05185E5UMCA,LIM9H91407,0,2015-05-22
02075G3RZTA,LIZTR20134,0,2015-02-16
01195I4NHNK,LOPEE96817,0,2015-02-06
01175M3MYAS,LOPEI89791,0,2015-02-12
03225E4EJIK,LOPEJ62277,0,2015-04-02
05175E4UCGJ,LOPEL44726,0,2015-06-02
01025H2IYNW,LUCIV34662,0,2015-02-10
01085MVKJUP,LUSHI70609,0,2015-01-26
05275M4XGIN,MACGP59016,0,2015-06-30
03025I6YKFR,MADEE97863,0,2015-03-03
04285E3PJUL,MAHAE28476,0,2015-05-11
04175E3LQNB,MALOA68774,0,2015-05-05
03205M4DXHH,MALOA90243,0,2015-03-28
122840EHKDT,MALOJ49107,0,2015-02-06
01315G2QEIFA,MANGR12019,0,2015-05-06
01235I4ONDR,MANID10733,0,2015-03-17
03295L4GPUP,MACLD99379,0,2015-04-06
022150LVXKR,MAGNJ39630,0,2015-02-26
02015T2QQMX,MANSL14493,0,2015-03-09
01235M4OJWQ,MANSS95733,0,2015-02-04
04255E5ODQS,MARAE64923,0,2015-04-29
05015L3QECJ,MARKP30550,0,2015-05-11
05135EVTBIU,MARKS91266,0,2015-05-25
1229409HSWF,MAROR43947,0,2015-01-15
0226508XHTX,MARTM90370,0,2015-03-25
04235H4NASW,MARTP33291,0,2015-05-07
05055C4REGR,MASSN34437,0,2015-06-25
02085PVSCLL,MAST30R,0,2015-02-16
03015HVYEXI,MAYEJ49473,0,2015-03-06
04245G4NMVZ,MAYGC20205,0,2015-08-13
01155H5MEJF,MANIN87086,0,2015-08-11
04225I4MYAC,MANNJ15862,0,2015-08-11
05025P6QMXC,MARRH31597,0,2015-05-11
05195E1USSI,MARTT47205,0,2015-05-25
0202508QTMX,MATTM59248,0,2015-10-08
01035K6JBBZ,MAURB75392,0,2015-05-18
03245F2FFZN,MAZUM87284,0,2015-04-15
03155H5CGXN,MAZZM17945,0,2015-03-19
03255D2FLRW,ROOPJ79643,0,2015-05-11
04065H4ISLB,ROSSR92323,0,2015-05-07
03255F3FNRF,ROTHD72894,0,2015-04-16
013150TQDQG,ROYJU86138,0,2015-02-13
02085I9SDPE,RUHSD21101,0,2015-02-13
12034M4AQJO,RODEJ44706,0,2015-05-20
01035G3JCZQ,RODRJ15654,0,2015-01-09
02125EVTCQI,ROSSM75833,0,2015-03-30
12304P1ICJNA,RUDDP85040,0,2015-01-29
01015E3INJN,SAEEG82721,0,2015-02-12
04275EVPHZW,SALCL24992,0,2015-04-30
11084M5SJPG,SANKM11949,0,2015-07-13
02225P2WIZM,SABAM30633,0,2015-06-12
04125W2KJWF,SAHAS20416,0,2015-06-01
02085E1SHPO,SAINA73733,0,2015-12-14
05235E9VXGO,SAINV48183,0,2015-05-28
04115C1KINA,SALZE17240,0,2015-07-20
020150EQPGW,SANDB14163,0,2015-03-16
04025L1HWHM,RUNGK88626,0,2015-04-10
01205N5NUXH,RYBAL71539,0,2015-01-26
030750AZUKN,RYDEJ56524,0,2015-03-31
01295H2PTGR,SALEZ84831,0,2015-06-09
02145G2TWKY,SANCA43299,0,2015-04-07
05245C6WDTS,SANTA53408,0,2015-06-05
03135M6BTDQ,SANTD64457,0,2016-02-15
04045C2IMQS,SANTE91391,0,2015-04-09
05135D1TCWJ,SARNK39453,0,2015-05-29
02195C3VIXK,SARDS30094,0,2015-02-24
032050CDWCW,SARFA72698,0,2015-04-01
02055LVRIRY,SCHAE37523,0,2015-02-10
02165H2UQGB,SELBS34527,0,2015-03-09
05045N1RAQB,SELFW33781,0,2015-06-08
02025E1QUCI,SERVS19128,0,2015-02-09
01045P2JHVL,SCAVJ76737,0,2015-01-19
05185W2ULPA,SCHMK87021,0,2016-06-30
05185W2ULPA,SCHMK87021,0,2016-07-28
02055H8RIJP,SCHNC16967,0,2015-02-28
05135RVTFORA,SEPP345,0,2015-05-15
05135RVTFORA,SEPP345,0,2015-05-14
03115N4BAHS,SEYLR61800,0,2015-03-26
02035L3QWQS,SHARJ15121,0,2015-04-10
041750TLSFE,SCHRR61525,0,2015-04-24
03255E8FLOC,SCHRR67225,0,2015-07-29
02095N2SLDY,SCOTA79016,0,2015-03-26
01295W2PQMF,SEIDM95853,0,2015-03-16
02045H5RCOI,SHIMD23723,0,2015-02-12
04245I9NJXQ,SIDAJ19815,0,2015-05-04
01025I1IXMW,SHANS17130,0,2015-01-07
03285G2GLAV,SHAWH83228,0,2015-04-02
05235C3VTMV,SHAWL50977,0,2015-06-19
05035G1QWUP,SHERS33527,0,2016-03-28
04245G5NNOC,SHIEV20385,0,2015-05-01
030750TZVJU,SHORR651Z8,0,2016-02-29
05145E1TIAI,SIMOA41641,0,2015-05-19
11254N3YBAR,SIMOP73479,0,2015-03-04
02115H5SXZK,SHARP23262,0,2015-02-12
01255I8OYKX,ABELM61112,0,2015-05-15
04095H6JOHR,AFAZJ95393,0,2015-05-25
02075N3RURT,ALGAH47331,0,2015-06-25
04125H3KPBC,ABRAS68003,0,2015-04-17
02075C4RUPO,ABRAW69213,0,2015-02-13
02135M4TKOI,ADAMF90373,0,2015-02-27
02095K4SLQX,AGUIF31787,0,2015-02-12
01205E9NUYM,ALIAH61737,0,2015-02-09
03155I6CMPT,ALMOA68148,0,2015-04-20
04265R2OXGE,ALOER35755,0,2015-06-18
04265R2OXGE,ALOER35755,0,2015-07-03
04015I3HQAH,ABBAJ87846,0,2015-05-27
05185H2ULYV,AHMEP43922,0,2015-05-28
03035P1YTNF,ALSUS52794,0,2015-04-22
01025M4IXXH,ANDRD30973,0,2015-01-07
01125R3LMQB,ARCHH17489,0,2015-02-26
03265I2FRRH,ARCOJ80383,0,2015-04-14
03115E4BCUS,ARCRO32597,0,2015-08-06
