OrderID,CustomerID,Sales,TransactionDate
11244W2XVQU,G999A39456,1248,2015-01-02
110840TSGDF,WILL25R,533.1,2015-01-02
110840TSGKN,WILL25R,2306.3,2015-01-02
110840TSJQY,POWEB819Z1,1560.4,2015-01-02
01015R2IOZG,CORLR07918,4725,2015-01-02
01025I8IXXJ,MARIK74798,83.3,2015-01-02
01025I9IVRC,MELLD60815,586.5,2015-01-02
01025JVIQXY,BERGS91209,337.1,2015-01-02
01025JVIQYJ,LEOGM54136,337.1,2015-01-02
01025JVIRFH,MOHAM30839,262.2,2015-01-02
01025JVITMW,DUCLR74056,321,2015-01-02
01025JVITQL,PRUEJ69879,461.2,2015-01-02
01025JVIURA,RUSSA38992,203.3,2015-01-02
01025K5IXEU,MCKIV58566,924.5,2015-01-02
11284G3YPFP,LUNAS35897,5977.2,2015-01-02
11284G2YKAS,ADDAL84671,3200,2015-01-02
11094C4SUPV,KATUM14260,5433.4,2015-01-02
0101503IMYF,SCOTV72879,541.1,2015-01-02
01015K9IPAD,MEYEA73387,1376.9,2015-01-02
01015L2IPFN,DEBOJ54230,248,2015-01-02
11294C3ZBJH,RUSSS54028,982.7,2015-01-02
11264P5YETV,KRIEB98405,9637.6,2015-01-02
01015P3IMDM,KILLE83977,401.7,2015-01-02
01015P3IMHN,LOPEN51724,3395,2015-01-02
01015P3INMB,ALLES72974,4620.2,2015-01-02
01015P3INPS,MURPT70202,1038.8,2015-01-02
01015P3INWE,BAKES73113,1482.9,2015-01-02
01015P3INYK,SMITD71526,2563.1,2015-01-02
01015P3INYKA,SMITD71526,921.1,2015-01-02
01015P3IPJB,KELLM83160,355.1,2015-01-02
01015RVINCA,KOSTJ72918,1820.9,2015-01-02
01015RVINIW,MARTM72980,432,2015-01-02
01015RVIOJT,FRUSJ73237,1276.5,2015-01-02
01015RVIOJTA,FRUSJ73237,746.3,2015-01-02
11284W2YJZH,BARKL84043,384.5,2015-01-02
11074R3SBFG,DALEV10532,2232,2015-01-02
12014M2ZWVU,WILL71J,850,2015-01-02
11154N5UPYZ,FUCCF22615,642,2015-01-02
12014N4ADOO,STASE98840,745.8,2015-01-02
11164C7VFCE,LOWEB95256,53.1,2015-01-02
10114L1JTHO,SMITD61399,4546,2015-01-02
120240PALAC,JENN108R-A,41.9,2015-01-02
11164H6VDHX,SABAA90905,1148,2015-01-02
12054N4BDBTA,MACRA31272,106.9,2015-01-02
11094E8SQSQ,TIMME13443,582.1,2015-01-02
11094E8SSNS,MOORC13837,2342.2,2015-01-02
11094I4SUZU,MITCC25033,2031.3,2015-01-02
11094N3STGSA,SMITK32540,377.3,2015-01-02
